horizon,model,date,equity
t+1,mohamed_v3,2023-10-31,10444.941797538893
t+1,mohamed_v3,2023-11-01,10626.233048827622
t+1,mohamed_v3,2023-11-02,10620.919932303208
t+1,mohamed_v3,2023-11-03,10740.330293779289
t+1,mohamed_v3,2023-11-06,10784.143342925634
t+1,mohamed_v3,2023-11-07,10778.751271254172
t+1,mohamed_v3,2023-11-08,10778.751271254172
t+1,mohamed_v3,2023-11-09,10778.751271254172
t+1,mohamed_v3,2023-11-10,10778.751271254172
t+1,mohamed_v3,2023-11-13,10778.751271254172
t+1,mohamed_v3,2023-11-14,10778.751271254172
t+1,mohamed_v3,2023-11-15,10781.470185172511
t+1,mohamed_v3,2023-11-16,10790.697065227077
